MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
ESA02051,AB326006,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yamato08 E,VTX00058,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Vigna ,marina,successional,Azonal & successional,coastal vegetation,subtropical,Palearctic,9.23,,7.8 mg kg-1 (Truog),,,1944,Asia,Japan,Okinawa Prefecture,Tamagusuku,26deg8.00'N 127deg47.00'E,,NS31,AM1,18S rDNA,Sanger,,Mycorrhiza,2008,Community of arbuscular mycorrhizal fungi in a coastal vegetation on Okinawa island and effect of the isolated fungi on growth of sorghum under salt-treated conditions,"Yamato, M.; Ikeda, S.; Iwase, K."
MOA43829,AB568512,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,,,Asia,Japan,Hokkaido Prefecture,NARO Hokkaido Agricultural Research Center,42deg53.00'N 143deg4.00'E,,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Japan Agricultural Research Quaterly,2014,Community of arbuscular mycorrhizal fungi in soybean roots after cultication with different cropping systems,"Kojima, T.; Oka, N.; Karasawa, T.; Okazaki, K.; Ando, S.; Takebe, M."
MOA25804,AB695043,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13a Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,7,49.3 g/kg (total C),971.3 mg/kg (available P),4.56 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Akasaki,35deg27.48'N 133deg38.17'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25805,AB695044,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13a Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.13,40.4 g/kg (total C),431 mg/kg (available P),3.23 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nawa,35deg30.00'N 133deg30.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25806,AB695045,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13a Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,5.29,39.3 g/kg (total C),173.2 mg/kg (available P),3.52 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Yura,35deg28.30'N 133deg44.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25807,AB695046,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Yoshimura13a Div1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.43,80.5 g/kg (total C),554.7 mg/kg (available P),5.24 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nakayama,35deg30.41'N 133deg33.53'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25810,AB695051,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,5.43,27.5 g/kg (total C),623.6 mg/kg (available P),2.29 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25811,AB695052,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.18,44.9 g/kg (total C),383.2 mg/kg (available P),3.64 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Fukube,35deg32.23'N 134deg15.24'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25812,AB695053,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.13,40.4 g/kg (total C),431 mg/kg (available P),3.23 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nawa,35deg30.00'N 133deg30.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25698,AB747011,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,sp.,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6,32.5 g/kg (total C),245.1 mg/kg (available P),3.05 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Togo,35deg28.00'N 133deg55.06'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of Arbuscular Mycorrhizal Fungi in Pyrus pyrifolia var. culta (Japanese pear) and an Understory Herbaceous Plant Plantago asiatica,"Yoshimura, Y.; Ido, A.; Matsumoto, T.; Yamato, M."
