MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
TJA00691,AB046946,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,vagiga1,,plant roots,,,,,,,,,,,temperate,Palearctic,,,,,,,Asia,Japan,Miyagi Prefecture,,0deg0.00' 0deg0.00',,VANS1,VAGIGA,18S rDNA,Sanger,,Journal of Japanese Society of Grassland Science,2001,Nested PCR amplification of arbuscular mycorrhizal fungal 18 S rRNA genes from field-collected roots,"Saito, K.; Nishiwaki, A.; Sugawara, K."
ESA01392,AB076266,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,GiAa1.1,VTX00039,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,grassland,Temperate seminatural grassland,temperate grassland,temperate,Palearctic,5.5,,13 Âµg g-1 (Truog),,,1633,Asia,Japan,Miyagi Prefecture,"Experimental Farm of Tohoku University, Miyagi",38deg44.00'N 140deg44.00'E,,AMV4.5NF,AMV4.5NR,18S rDNA,Sanger,,Mycorrhiza,2004,Defoliation effects on the community structure of arbuscular mycorrhizal fungi based on 18S rDNA sequences,"Saito, M.; Suyama, Y.; Sato, S.; Sugawara, K."
ESA01285,AB178765,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,PSAM-Scu-1,VTX00049,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01300,AB178766,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,PSAM-Scu-1,VTX00049,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Saccharum,spontaneum,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA02531,AB193049,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,margarita,VTX00039,cultured spores,MAFF520052,unspecified subclass,,,,,,culture,,culture,,,,,,,,,,,,,0deg0.00' 0deg0.00',,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Grassland Science,2005,A new primer for discrimination of arbuscular mycorrhizal fungi with polymerase chain reaction-denature gradient gel electrophoresis,"Sato, S.; Suyama, Y.; Saito, M.; Sugawara, K."
MOA05118,AB206240,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Wu07 Scu,,other,field spores,,,,,,,successional,Azonal & successional,volcanic desert,subtropical,Palearctic,,,,,1500-1930,,Asia,Japan,Shizuoka Prefecture,Mount Fuji,35deg20.00'N 138deg47.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Mycorrhiza,2007,Community structure of arbuscular mycorrhizal fungi in a primary successional volcanic desert on the southeast slope of Mount Fuji,"Wu, B.; Hogetsu, T.; Isobe, K.; Ishii, R."
MOA05081,AB206246,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Wu07 Gig,,other,field spores,,,,,,,successional,Azonal & successional,volcanic desert,subtropical,Palearctic,,,,,1500-1930,,Asia,Japan,Shizuoka Prefecture,Mount Fuji,35deg20.00'N 138deg47.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Mycorrhiza,2007,Community structure of arbuscular mycorrhizal fungi in a primary successional volcanic desert on the southeast slope of Mount Fuji,"Wu, B.; Hogetsu, T.; Isobe, K.; Ishii, R."
MOA05119,AB206251,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Wu07 Scu,,other,field spores,,,,,,,successional,Azonal & successional,volcanic desert,subtropical,Palearctic,,,,,1500-1930,,Asia,Japan,Shizuoka Prefecture,Mount Fuji,35deg20.00'N 138deg47.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Mycorrhiza,2007,Community structure of arbuscular mycorrhizal fungi in a primary successional volcanic desert on the southeast slope of Mount Fuji,"Wu, B.; Hogetsu, T.; Isobe, K.; Ishii, R."
MOA05151,AB369769,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,An08 SCU1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,revegetated sugarcane field,subtropical,Palearctic,5.7 (3.5-6.9),"7.5 (5.4-57.7 g kg-1, total C)",,,40-50,2437,Asia,Japan,Okinawa Prefecture,Nago,26deg35.00'N 127deg58.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05152,AB369770,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,An08 GIG1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,abandoned quarry,subtropical,Palearctic,4.2 (3.7-6.8),1.4-4.9 g kg-1 (total C),,,100-200,1600,Asia,Japan,Aichi prefecture,Hazu,34deg47.00'N 137deg7.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05153,AB369771,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,An08 GIG1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,grassland developed after clearcut,temperate,Palearctic,5.7 (5.4-6.1),10-26 g kg-1 (total C),,,30,1017,Asia,Japan,Hokkaido Prefecture,Atsuma,42deg43.00'N 141deg52.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05154,AB369772,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,An08 GIG2,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,revegetated sugarcane field,subtropical,Palearctic,5.7 (3.5-6.9),"7.5 (5.4-57.7 g kg-1, total C)",,,40-50,2437,Asia,Japan,Okinawa Prefecture,Nago,26deg35.00'N 127deg58.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA06571,AB561124,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Kawahara &amp; Ezawa13 Gig1,,plant roots,roots from trap culture,,,,,Miscanthus,sinensis,successional,Azonal & successional,coastal sand dune landward slope,temperate,Palearctic,6.5,5.1 g/kg (Total C),18 mg/kg (Truog-P),0.4 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA06602,AB561125,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Kawahara &amp; Ezawa13 Gig2,,plant roots,,,,,,Elymus,mollis,successional,Azonal & successional,coastal sand dune seaward slope,temperate,Palearctic,7.5,1.4 g/kg (Total C),15 mg/kg (Truog-P),0.18 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA06572,AB561126,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Kawahara &amp; Ezawa13 Gig2,,plant roots,roots from trap culture,,,,,Miscanthus,sinensis,successional,Azonal & successional,coastal sand dune landward slope,temperate,Palearctic,6.5,5.1 g/kg (Total C),18 mg/kg (Truog-P),0.4 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA07238,AB665511,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Gig1,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Lotus,japonicus,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07239,AB665512,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Gig2,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Lotus,japonicus,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07240,AB665513,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Gig3,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07241,AB665514,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Gig4,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Lotus,japonicus,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07310,AB669124,Glomeromycetes,Diversisporales,Gigasporaceae,Scutellospora,Higo13 Scu2,,soil,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable field,subtropical,Palearctic,,,,,,,Asia,Japan,Kanagawa Prefecture,Nihon University,35deg22.00'N 139deg27.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Biology and Fertility of Soils,2013,Diversity and vertical distribution of indigenous arbuscular mycorrhizal fungi under two soybean rotational systems,"Higo, M.; Isobe, K.; Yamaguchi, M.; Drijber, R. A.; Jeske, E.S.; Ishii, R."
MOA07311,AB669125,Glomeromycetes,Diversisporales,Gigasporaceae,Gigaspora,Higo13 Giga2,,soil,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable field,subtropical,Palearctic,,,,,,,Asia,Japan,Kanagawa Prefecture,Nihon University,35deg22.00'N 139deg27.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Biology and Fertility of Soils,2013,Diversity and vertical distribution of indigenous arbuscular mycorrhizal fungi under two soybean rotational systems,"Higo, M.; Isobe, K.; Yamaguchi, M.; Drijber, R. A.; Jeske, E.S.; Ishii, R."
