MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
MOA05174,AB369808,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,abandoned quarry,temperate,Palearctic,3.7 (2.7-5.4),1.4-4.9 g kg-1 (total C),,,30-50,1169,Asia,Japan,Hokkaido Prefecture,Rankonshi,42deg42.00'N 140deg21.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05175,AB369809,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,abandoned quarry,temperate,Palearctic,3.7 (2.7-5.4),1.4-4.9 g kg-1 (total C),,,30-50,1169,Asia,Japan,Hokkaido Prefecture,Rankonshi,42deg42.00'N 140deg21.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05172,AB369810,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,abandoned quarry,subtropical,Palearctic,4.2 (3.7-6.8),1.4-4.9 g kg-1 (total C),,,100-200,1600,Asia,Japan,Aichi prefecture,Hazu,34deg47.00'N 137deg7.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05173,AB369813,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,abandoned quarry,subtropical,Palearctic,4.2 (3.7-6.8),1.4-4.9 g kg-1 (total C),,,100-200,1600,Asia,Japan,Aichi prefecture,Hazu,34deg47.00'N 137deg7.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05176,AB369814,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-1,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,revegetated sugarcane field,subtropical,Palearctic,5.7 (3.5-6.9),"7.5 (5.4-57.7 g kg-1, total C)",,,40-50,2437,Asia,Japan,Okinawa Prefecture,Nago,26deg35.00'N 127deg58.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05177,AB369815,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-2,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,grassland developed after clearcut,temperate,Palearctic,5.7 (5.4-6.1),10-26 g kg-1 (total C),,,30,1017,Asia,Japan,Hokkaido Prefecture,Atsuma,42deg43.00'N 141deg52.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05178,AB369817,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,An08 PAR1-2,,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Miscanthus,sinensis,successional,Azonal & successional,grassland developed after clearcut,temperate,Palearctic,5.7 (5.4-6.1),10-26 g kg-1 (total C),,,30,1017,Asia,Japan,Hokkaido Prefecture,Atsuma,42deg43.00'N 141deg52.00'E,,LR1,FLR2,28S rDNA,Sanger,,Soil Science and Plant Nutrition,2008,Community structure of arbuscular mycorrhizal fungi associated with pioneer grass species Miscanthus sinensis in acid sulfate soils: habitat segregation along pH gradients,"An, G.H.; Miyakawa, S.; Kawahara, A.; Osaki, M.; Ezawa, T."
MOA05182,AB494439,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Par1,,other,field spores,,,,,,,anthropogenic,Anthropogenic ecosystem,experimental field,tropical,Indo-Malay,3.24,,"0,31 mg/g (Total P)",,,,Asia,Thailand,Nakhon Nayok Province,Banna,14deg14.00'N 100deg59.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Annals of Microbiology,2011,Molecular diversity and spore density of indigenous arbuscular mycorrhizal fungi in acid sulfate soil in Thailand,"Higo, M.; Isobe, K.; Kang, D. J.; Maekawa, T.; Ishii, R."
MOA06604,AB561132,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Kawahara &amp; Ezawa13 Par1,,plant roots,,,,,,Elymus,mollis,successional,Azonal & successional,coastal sand dune seaward slope,temperate,Palearctic,7.5,1.4 g/kg (Total C),15 mg/kg (Truog-P),0.18 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA06576,AB561133,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Kawahara &amp; Ezawa13 Par2,,plant roots,roots from trap culture,,,,,Miscanthus,sinensis,successional,Azonal & successional,coastal sand dune landward slope,temperate,Palearctic,6.5,5.1 g/kg (Total C),18 mg/kg (Truog-P),0.4 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA06605,AB561135,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Kawahara &amp; Ezawa13 Par2,,plant roots,,,,,,Elymus,mollis,successional,Azonal & successional,coastal sand dune seaward slope,temperate,Palearctic,7.5,1.4 g/kg (Total C),15 mg/kg (Truog-P),0.18 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA06577,AB561136,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Kawahara &amp; Ezawa13 Par3,,plant roots,roots from trap culture,,,,,Miscanthus,sinensis,successional,Azonal & successional,coastal sand dune landward slope,temperate,Palearctic,6.5,5.1 g/kg (Total C),18 mg/kg (Truog-P),0.4 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA06606,AB561137,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Kawahara &amp; Ezawa13 Par3,,plant roots,roots from trap culture,,,,,Miscanthus,sinensis,successional,Azonal & successional,coastal sand dune seaward slope,temperate,Palearctic,7.5,1.4 g/kg (Total C),15 mg/kg (Truog-P),0.18 g/kg (Total N),,651,Asia,Japan,Hokkaido Prefecture,Ishikari,43deg25.00'N 141deg35.00'E,,LR1,FLR2,28S rDNA,Sanger,,Oecologia,2013,Characterization of arbuscular mycorrhizal fungal communities with respect to zonal vegetation in a coastal dune ecosystem,"Kawahara, A.; Ezawa, T."
MOA43835,AB568496,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,sp.,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,,,Asia,Japan,Hokkaido Prefecture,NARO Hokkaido Agricultural Research Center,42deg53.00'N 143deg4.00'E,,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Japan Agricultural Research Quaterly,2014,Community of arbuscular mycorrhizal fungi in soybean roots after cultication with different cropping systems,"Kojima, T.; Oka, N.; Karasawa, T.; Okazaki, K.; Ando, S.; Takebe, M."
MOA43836,AB569096,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,sp.,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,,,Asia,Japan,Hokkaido Prefecture,NARO Hokkaido Agricultural Research Center,42deg53.00'N 143deg4.00'E,,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Japan Agricultural Research Quaterly,2014,Community of arbuscular mycorrhizal fungi in soybean roots after cultication with different cropping systems,"Kojima, T.; Oka, N.; Karasawa, T.; Okazaki, K.; Ando, S.; Takebe, M."
MOA43837,AB569101,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,sp.,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,,,Asia,Japan,Hokkaido Prefecture,NARO Hokkaido Agricultural Research Center,42deg53.00'N 143deg4.00'E,,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Japan Agricultural Research Quaterly,2014,Community of arbuscular mycorrhizal fungi in soybean roots after cultication with different cropping systems,"Kojima, T.; Oka, N.; Karasawa, T.; Okazaki, K.; Ando, S.; Takebe, M."
MOA43838,AB569111,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,sp.,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,,,Asia,Japan,Hokkaido Prefecture,NARO Hokkaido Agricultural Research Center,42deg53.00'N 143deg4.00'E,,AMV4.5NF,AMDGR,18S rDNA,Sanger,,Japan Agricultural Research Quaterly,2014,Community of arbuscular mycorrhizal fungi in soybean roots after cultication with different cropping systems,"Kojima, T.; Oka, N.; Karasawa, T.; Okazaki, K.; Ando, S.; Takebe, M."
MOA07242,AB665515,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Par1,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07243,AB665516,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Par2,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Lotus,japonicus,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07244,AB665517,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Par3,,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Glycine,max,anthropogenic,Anthropogenic ecosystem,experimental field,temperate,Palearctic,,,,,17,1100,Asia,Japan,Hokkaido Prefecture,Sapporo,43deg4.00'N 141deg20.00'E,,LR1,FLR2,28S rDNA,Sanger,,Plant and Soil ,2013,"Ninety-year-, but not single, application of phosphorus fertilizer has a major impact on arbuscular mycorrhizal fungal communities","Cheng, Y.; Ishimoto, K.; Kuriyama, Y.; Osaki, M.; Ezawa, T."
MOA07316,AB669130,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Higo13 Par1,,soil,,,,,,,,anthropogenic,Anthropogenic ecosystem,arable field,subtropical,Palearctic,,,,,,,Asia,Japan,Kanagawa Prefecture,Nihon University,35deg22.00'N 139deg27.00'E,,FLR3,FLR4,28S rDNA,Sanger,,Biology and Fertility of Soils,2013,Diversity and vertical distribution of indigenous arbuscular mycorrhizal fungi under two soybean rotational systems,"Higo, M.; Isobe, K.; Yamaguchi, M.; Drijber, R. A.; Jeske, E.S.; Ishii, R."
MOA25800,AB695037,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Yoshimura13a Para1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.18,44.9 g/kg (total C),383.2 mg/kg (available P),3.64 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Fukube,35deg32.23'N 134deg15.24'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
MOA25801,AB695039,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Yoshimura13a Para1,,plant roots,,Magnoliidae,Rosanae,Rosales,Rosaceae,Pyrus,pyrifolia var. culta,anthropogenic,Anthropogenic ecosystem,pear orchard,subtropical,Palearctic,6.13,40.4 g/kg (total C),431 mg/kg (available P),3.23 g/kg (total N),,,Asia,Japan,Tottori Prefecture,Nawa,35deg30.00'N 133deg30.30'E,,AML1,AML2,18S rDNA,Sanger,,Microbes and Environments,2013,Communities of arbuscular mycorrhizal fungi in the roots of Pyrus pyrifolia var. culta (Japanese pear) in orchards with variable amounts of soil-available phosphorus,"Yoshimura, Y.; Ido, A.; Iwase, K.; Matsumoto, T.; Yamato, M."
