MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
TJA00690,AB046938,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,vaacau1,,plant roots,,,,,,,,,,,temperate,Palearctic,,,,,,,Asia,Japan,Miyagi Prefecture,,0deg0.00' 0deg0.00',,VANS1,VAACAU,18S rDNA,Sanger,,Journal of Japanese Society of Grassland Science,2001,Nested PCR amplification of arbuscular mycorrhizal fungal 18 S rRNA genes from field-collected roots,"Saito, K.; Nishiwaki, A.; Sugawara, K."
TJA00689,AB046939,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,vaacau2,,plant roots,,,,,,,,,,,temperate,Palearctic,,,,,,,Asia,Japan,Miyagi Prefecture,,0deg0.00' 0deg0.00',,VANS1,VAACAU,18S rDNA,Sanger,,Journal of Japanese Society of Grassland Science,2001,Nested PCR amplification of arbuscular mycorrhizal fungal 18 S rRNA genes from field-collected roots,"Saito, K.; Nishiwaki, A.; Sugawara, K."
TJA00688,AB046940,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,vaacau3,,plant roots,,,,,,,,,,,temperate,Palearctic,,,,,,,Asia,Japan,Miyagi Prefecture,,0deg0.00' 0deg0.00',,VANS1,VAACAU,18S rDNA,Sanger,,Journal of Japanese Society of Grassland Science,2001,Nested PCR amplification of arbuscular mycorrhizal fungal 18 S rRNA genes from field-collected roots,"Saito, K.; Nishiwaki, A.; Sugawara, K."
TJA00687,AB046941,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,vaacau4,,plant roots,,,,,,,,,,,temperate,Palearctic,,,,,,,Asia,Japan,Miyagi Prefecture,,0deg0.00' 0deg0.00',,VANS1,VAACAU,18S rDNA,Sanger,,Journal of Japanese Society of Grassland Science,2001,Nested PCR amplification of arbuscular mycorrhizal fungal 18 S rRNA genes from field-collected roots,"Saito, K.; Nishiwaki, A.; Sugawara, K."
ESA01301,AB178715,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,PT6,VTX00249,other,spores from natural soil,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01279,AB178750,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,PT6,VTX00249,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01280,AB178755,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,PT6,VTX00249,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01281,AB178756,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,PT6,VTX00249,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01282,AB178758,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,PT6,VTX00249,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01283,AB178759,Glomeromycetes,Diversisporales,Acaulosporaceae,Kuklospora,PT6,VTX00249,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01284,AB178760,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,PSAM-Aca-1,VTX00023,plant roots,,Magnoliidae,Rosanae,Fabales,Fabaceae,Calpogonium,mucunoides,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
ESA01298,AB178761,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,PSAM-Aca-1,VTX00023,plant roots,,Magnoliidae,Lilianae,Poales,Poaceae,Saccharum,spontaneum,successional,Azonal & successional,lahar area,tropical,Indo-Malay,6.1,1700 mg kg-1 (total C),"2.5 mg kg-1 (Olsen), 264 mg kg-1 (Truog)",85 mg kg-1 (total N),,,Asia,Philippines,Central Luzon,"Barangay Maniag-Pasig, Pampanga",15deg5.00'N 120deg33.00'E,,NS31,AM1,18S rDNA,Sanger,,Soil Science and Plant Nutrition,2004,"Arbuscular mycorrhizal fungal communities associated with some pioneer plants in the lahar of Mt. Pinatubo, Philippines","Oba, H.; Shinozaki, N.; Oyaizu, H.; Tawaraya, K.; Wagatsuma, T.; Barraquio, W.L.; Saito, M."
