MaarjAM accession number,GenBank accession number,Fungal class,Fungal order,Fungal family,Fungal genus,Fungal species,VTX,Source,Source specify,Host subclass,Host superorder,Host order,Host family,Host genus,Host species,Ecosystem,Biome,Habitat,Climatic zone,Biogeo realm,Soil pH,C content,P content,N content,Altitude (m),Average annual precipitation (mm),Continent,Country,State,Location,Coordinates,Culture code,Forward primer,Reverse primer,Marker region,Sequencing method,Sequencing chemistry,Journal,Year,Title,Authors
ESA02249,AB015052,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,NS1,NS8,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02250,AB015711,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02251,AB015712,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02252,AB015713,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02253,AB015714,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02254,AB015715,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02255,AB015716,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02256,AB015717,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,,cultured spores,culture MAFF520055,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,grassland,Temperate seminatural grassland,semi-natural grassland,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"National Grassland Research Institute, Mt Fujinitayama experimental farm",36deg55.00'N 139deg58.00'E,MAFF520055,,,18S rDNA,Sanger,,Mycoscience,1998,"Phylogenetic position of an arbuscular mycorrhizal fungus, Acaulospora gerdemannii, and its synanamorph Glomus leptotichum, based upon 18S rRNA gene sequence","Sawaki, H.; Sugawara, K.; Saito, M."
ESA02292,AB047302,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,leptoticha,VTX00242,cultured spores,W4770/Att315-11,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,temperate,Palearctic,,,,,,,Asia,Japan,Tochigi Prefecture,"Nishinasumo, Fujinitayama",36deg55.00'N 139deg58.00'E,W4770/Att315-11,EcoNS1,NS8KX,18S rDNA,Sanger,,Mycological Research,2007,"Molecular phylogeny and new taxa in the Archaeosporales (Glomeromycota): Ambispora fennica gen.sp.nov., Ambisporaceae fam. nov., and emendation of Archaeospora and Archaeosporaceae","Walker, C.; Vestberg, M.; Demircik, F.; Stockinger, H.; Saito, M.; Sawaki, H.; Nishmura, I.; Schussler, A."
ESA02293,AB047305,Archaeosporomycetes,Archaeosporales,Ambisporaceae,Ambispora,callosa,VTX00242,cultured spores,W4769/Att1323-7,unspecified subclass,,,unspecified family,unspecified genus,unspecified species,culture,,culture,subtropical,Palearctic,,,,,,,Asia,Japan,Kagoshima Prefecture,Sakurajima island,31deg35.00'N 130deg39.00'E,W4769/Att1323-7,EcoNS1,NS8KX,18S rDNA,Sanger,,Mycological Research,2007,"Molecular phylogeny and new taxa in the Archaeosporales (Glomeromycota): Ambispora fennica gen.sp.nov., Ambisporaceae fam. nov., and emendation of Archaeospora and Archaeosporaceae","Walker, C.; Vestberg, M.; Demircik, F.; Stockinger, H.; Saito, M.; Sawaki, H.; Nishmura, I.; Schussler, A."
